Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0689431998771194,-0.0141220992321394,-0.300302033882626,0,0,0,5.73199162392309,0.0472878884227461,-1.18684409079201E-05,-0.000695180601841699,0.0621317577117919,-3.4508866648248E-05,0.0549594182577516,0,0,0,0,0,0,package://URDF with fridge/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/base_link.STL,,RobotBase-1;fridgeBase-1;fridge-1;NEMA17-1;BASE-1;BASE TURNING GEAR-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fridgeDoor,0.0736569393881498,0.114201229135015,-3.33066907387547E-16,0,0,0,0.433445243112743,0.00331287924753315,-2.13930954220293E-05,1.72257837770235E-18,0.000759449566054937,4.86624442614954E-18,0.00406508938639499,0,0,0,0,0,0,package://URDF with fridge/meshes/fridgeDoor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/fridgeDoor.STL,,FridgeDoor-1,Origin_F1,Axis13,F1,continuous,0.13865629709213,0,-0.283835687229188,0,-0.030784802234591,-3.14159265358979,base_link,0,-1,0,,,,,,,,,,,,
turning_base,-0.0267697026327348,0.00488148698796461,0.0222183347728628,0,0,0,0.19237125582213,0.000135901413995399,-1.33820761853295E-06,2.84315818360693E-06,0.000156555561267971,2.6996128156746E-06,0.000197919660234674,0,0,0,0,0,0,package://URDF with fridge/meshes/turning_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/turning_base.STL,,ARM TURNING BASE-1;NEMA17-3,Origin_J1,Axis12,J1,continuous,0.0660497283649592,0.0323022563864429,0.0145420702819405,1.5707963267949,-0.00401861891135302,0,base_link,0,0,-1,,,,,,,,,,,,
lowerFront,-2.22044604925031E-16,-0.0999111796922045,-0.00999999999999947,0,0,0,0.0855737940510451,0.000328606447348668,-8.20986684126231E-19,-4.72153637505962E-22,3.53584860057504E-06,-2.15784962745792E-16,0.000330716066048393,0,0,0,0,0,0,package://URDF with fridge/meshes/lowerFront.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/lowerFront.STL,,UPPER ARM DRIVEN-2;UPPER ARM DRIVEN-1,Origin_J2,Axis12,J2,revolute,-0.0274999999999557,0.0125000000000202,0.0300000000015584,-1.57079632679639,0.490375448312762,1.5707963267945,turning_base,0.470957125376388,0.882156100731162,0,0,0,0,6.288,,,,,,,,
triangle,0.0128671162531902,0.0149668569116932,0.00499999999999999,0,0,0,0.0191246861766036,5.62289539865078E-06,2.73395813990835E-06,-3.15454872629373E-22,4.65318566936928E-06,3.74745449762105E-22,9.95733629841E-06,0,0,0,0,0,0,package://URDF with fridge/meshes/triangle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/triangle.STL,,ELBOW-1,Origin_J3,Axis8,J3,continuous,0,-0.199999999999989,-0.0150000000000651,0,0,3.0192892910529,lowerFront,0,0,1,,,,,,,,,,,,
upperHalfbacklink,0.0414635494994406,5.62050406216485E-16,0.00499999999999991,0,0,0,0.0193744467859455,8.00416835228508E-07,1.14349447879331E-20,1.47050174175862E-21,1.54913654040111E-05,-3.70090868325708E-23,1.59688747928072E-05,0,0,0,0,0,0,package://URDF with fridge/meshes/upperHalfbacklink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/upperHalfbacklink.STL,,split PARALLEL LINKAGE-2,Origin_J5,Axis9,J5,continuous,0.0450000000000081,0,0.0199999999999996,3.14159265358979,0,-1.43084807582469,triangle,0,0,-1,,,,,,,,,,,,
upperHalfFrontlink,0.0463904561233809,-6.45317133063372E-14,7.9956874454723E-14,0,0,0,0.0214124502395769,8.84174131725659E-07,-2.26260234963957E-17,3.03407180299729E-17,2.08029877158262E-05,-9.12136632753397E-24,2.13302876768922E-05,0,0,0,0,0,0,package://URDF with fridge/meshes/upperHalfFrontlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/upperHalfFrontlink.STL,,Split UPPER ARM DRIVEN-2,Origin_J6,Axis7,J6,continuous,0,0.0500000000000889,-0.00499999999985195,3.14159265358979,0,-2.48003154709769,triangle,0,0,-1,,,,,,,,,,,,
lowerfrontLink,2.77555756156289E-17,-0.0863342210093204,0.0247054628952012,0,0,0,0.0953394410565643,0.000470411650298866,5.4315987742682E-19,1.51753137276197E-21,3.95014826174653E-06,-3.09405752680569E-16,0.000472772807876337,0,0,0,0,0,0,package://URDF with fridge/meshes/lowerfrontLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF with fridge/meshes/lowerfrontLink.STL,,UPPER ARM DRIVEN-5;FORARM DRIVE LINK-1,Origin_J4,Axis8,J4,revolute,0,-0.2,0.01,3.1416,0,-1.0177,lowerFront,0,0,-1,0,0,0,6.288,,,,,,,,
backhalfGripper,-0.0250028133017937,0.0239301160957166,0.00141734074678149,0,0,0,1.53802958602338,0.000909413538569685,8.26533997142431E-05,-2.76680034671548E-05,0.000912566548096114,-4.94357740447192E-05,0.00115501581802408,0,0,0,0,0,0,package://URDF with fridge/meshes/backhalfGripper.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://URDF with fridge/meshes/backhalfGripper.STL,,backhalf gripper-2/gripper arm connection-1,Origin_J7,Axis5,J7,continuous,0,-0.2,0.022327,3.1416,0,2.5048,lowerfrontLink,0,0,0,,,,,,,,,,,,
frontGripper,-0.000216464748702488,0.0283235783013317,0.0142900639859024,0,0,0,0.558596679661737,0.000309404274315498,-3.91459968046765E-05,3.65468624887361E-06,0.000256279098899188,8.0770060142967E-06,0.00046459335100017,0,0,0,0,0,0,package://URDF with fridge/meshes/frontGripper.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://URDF with fridge/meshes/frontGripper.STL,,backhalf gripper-2/2ndhalf with gripper-1,Origin_J8,Axis1,J8,revolute,-0.054,0.0035,-8.2845E-05,1.5708,1.5515,-3.1416,backhalfGripper,0,0,0,0,0,-1.57,1.57,,,,,,,,
