Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.065744341564924,0.0494910882181169,-0.045216580467112,0,0,0,0.207046380810351,0.000296100160478882,4.14810054064923E-07,2.9650972706571E-09,0.000248571256331813,2.58760118757551E-11,0.000510587496763238,0,0,0,0,0,0,package://ARM.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/base_link.STL,,BASE-1;BASE TURNING GEAR-1;NEMA17-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Turning_base,-0.0267697026327348,0.00488148698796461,0.0222183347728628,0,0,0,0.19237125582213,0.000135901413995399,-1.33820761853295E-06,2.84315818360693E-06,0.000156555561267971,2.6996128156746E-06,0.000197919660234674,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Turning_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Turning_base.STL,,ARM TURNING BASE-1;NEMA17-3,Origin_J1,Axis12,J1,revolute,0.06605,0.032302,0.014542,1.5708,-0.0040186,0,base_link,0,0,-1,0,0,0,6.28,,,,,,,,
Lower_Backlink,0.0414635494994407,3.46944695195361E-18,0.00499999999999998,0,0,0,0.0193744467859455,8.00416835228506E-07,-9.52912065661088E-22,4.55815036554347E-21,1.54913654040111E-05,1.31132591327248E-22,1.59688747928072E-05,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Lower_Backlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Lower_Backlink.STL,,split PARALLEL LINKAGE-1,Origin_J2,Axis10,J2,continuous,-0.0225,-0.022855,0.065355,-1.5708,-1.046,1.5708,Turning_base,0,0,-1,,,,,,,,,,,,
Link1,-5.21804821573824E-15,0.00500000000000492,-0.00999999999999942,0,0,0,0.085573794051045,0.000328606447348668,1.45960717470861E-17,3.74845624985551E-22,3.53584860057504E-06,-2.1588614126044E-16,0.000330716066048393,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Link1.STL,,UPPER ARM DRIVEN-1;UPPER ARM DRIVEN-2,Origin_J3,Axis11,J3,revolute,-0.0275,0.058501,0.11312,1.5708,-0.50547,-1.5708,Turning_base,0,0,-1,0,0,0,6.28,,,,,,,,
triangle,0.0128671162531901,0.0149668569116931,0.005,0,0,0,0.0191246861766035,5.62289539865076E-06,2.73395813990835E-06,-1.63798820454671E-21,4.65318566936926E-06,1.77309574594121E-21,9.95733629840997E-06,0,0,0,0,0,0,package://ARM.SLDASM/meshes/triangle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/triangle.STL,,ELBOW-1,Origin_J4,Axis8,J4,continuous,0,0.105,-0.015,0,0,-0.13866,Link1,0,0,1,,,,,,,,,,,,
Upper_backlink,0.0414635494994406,1.07552855510562E-15,0.005,0,0,0,0.0193744467859455,8.00416835228508E-07,4.2351647362715E-22,2.85427484424913E-21,1.54913654040111E-05,-5.92136022624789E-23,1.59688747928072E-05,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Upper_backlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Upper_backlink.STL,,split PARALLEL LINKAGE-2,Origin_J5,Axis9,J5,continuous,0.045,0,0.02,-3.1416,0,-1.4128,triangle,0,0,-1,,,,,,,,,,,,
Upper_frontlink,0.0463904561233755,-6.26720897400901E-14,7.99429966669152E-14,0,0,0,0.0214124502395769,8.8417413172566E-07,-2.26124180296804E-17,3.03487084681567E-17,2.08029877158262E-05,4.03015371553792E-22,2.13302876768922E-05,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Upper_frontlink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Upper_frontlink.STL,,Split UPPER ARM DRIVEN-2,Origin_J6,Axis7,J6,continuous,0,0.05,-0.005,-3.1416,0,-2.7921,triangle,0,0,-1,,,,,,,,,,,,
Link2,4.44089209850063E-16,0.0186657789906809,0.0247054628952011,0,0,0,0.0953394410565643,0.000470411650298866,3.36399135002045E-18,-2.06366020526793E-21,3.95014826174653E-06,-3.0937247350164E-16,0.000472772807876336,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Link2.STL,,UPPER ARM DRIVEN-5;FORARM DRIVE LINK-1,Origin_J7,Axis8,J7,revolute,-0.10241,0.081825,0.01,3.1416,0,1.7933,Link1,0,0,-1,0,0,0,6.28,,,,,,,,
Back_gripper,0.0289971473482062,0.0314301160957162,0.00141734074678128,0,0,0,1.53802958602338,0.000909413538569684,8.2653399714243E-05,-2.76680034671545E-05,0.000912566548096114,-4.94357740447193E-05,0.00115501581802408,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Back_gripper.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Back_gripper.STL,,backhalf gripper-2/gripper arm connection-1,Origin_J8,Axis5,J8,continuous,0.026092,-0.14287,0.022327,3.1416,0,2.2078,Link2,0,0,1,,,,,,,,,,,,
Front_gripper,-0.000133634540354588,0.0283220187258271,0.015290063985935,0,0,0,0.558596679661737,0.000309404274315498,-3.91459968046766E-05,3.65468624887358E-06,0.000256279098899188,8.07700601429682E-06,0.00046459335100017,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Front_gripper.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://ARM.SLDASM/meshes/Front_gripper.STL,,backhalf gripper-2/2ndhalf with gripper-1,Origin_J9,Axis1,J9,revolute,0,0.01,0,1.5708,1.5515,-3.1416,Back_gripper,3.3649E-05,0,1,0,0,0,6.28,,,,,,,,
